kabupaten,capacity_class,clinical_staff_per_10k,total_pop,baseline_pct_within60,s1_moderate_pct_within60,s1_severe_pct_within60,proxy_moderate_pct_within60,proxy_severe_pct_within60,pp_drop_s1_moderate,pp_drop_proxy_moderate
Barito Kuala,underserved,24.634129590314195,335245.734326195,88.73080186706379,78.5033693588065,0.0,78.7000247905793,0.0,10.227432508257294,10.030777076484483
Kotabaru,underserved,24.89118493633922,394950.71909194323,24.6861371121964,24.505892058638334,21.28934877439627,22.7655971506442,0.7047569646349565,0.18024505355806397,1.9205399615521976
Banjar,underserved,30.149537423894454,653656.817749789,80.90492031634803,76.76097333976485,0.0,78.61819268606352,32.567317029304824,4.14394697658318,2.2867276302845028
Tanah Laut,underserved,31.504448654398896,395275.80860437383,84.29009643594453,84.12882399816576,0.0,83.96032173663477,8.757406838378289,0.1612724377787771,0.3297746993097661
Tapin,underserved,33.051934041058594,230926.58330458566,83.99477192096471,83.46250353408257,0.0,81.95157811383532,62.4100180240007,0.5322683868821372,2.0431938071293843
Tabalong,underserved,34.630528432990054,276662.0419400911,76.9231098940992,76.86339386306899,0.0,76.9231098940992,13.602279840038406,0.05971603103020584,0.0
Tanah Bumbu,well-served,39.64359824086375,385854.1731094456,75.47045905203116,74.71543495688246,37.77503610938146,73.97649722242572,1.2911001861714053,0.7550240951486984,1.493961829605439
Hulu Sungai Utara,well-served,40.99878935167675,208528.70516061434,83.04205594473277,83.04205594473277,0.0,83.04205594473277,0.8272144875058147,0.0,0.0
Hulu Sungai Tengah,well-served,41.04495031826986,262585.38453387877,96.47842818330595,95.54347767382555,0.0,96.47842818330595,80.10946215472043,0.9349505094804016,0.0
Kota Banjarbaru,well-served,43.53025764165797,283021.0547511885,99.97645293072725,99.97645293072725,0.0,99.97645293072725,88.8758462678756,0.0,0.0
Hulu Sungai Selatan,well-served,46.74132638591816,232770.62872018368,82.77133667771896,81.0280553574959,0.0,82.77133667771896,54.62014936329907,1.743281320223062,0.0
Balangan,well-served,46.935206971716056,140428.51271127322,70.64470257706853,70.64470257706853,0.0,70.64470257706853,39.44825346832887,0.0,0.0
Kota Banjarmasin,well-served,56.13628126132657,682578.4807429517,100.0,100.0,0.0,99.71401035049523,0.0,0.0,0.2859896495047707
